TEMPO_ESTUDO;RENDA;UF;GENERO;IDADE;ALTURA;faixa idade;Região
12;1800;MT;M;44;1,64;Jovem adulto;Centro-Oeste
7;900;RS;F;58;1,64;adulto;Sul
9;1200;SP;F;41;1,64;Jovem adulto;Sudeste
5;2000;PR;M;58;1,64;adulto;Sul
6;1500;MG;M;40;1,64;Jovem adulto;Sudeste
9;1600;RS;F;46;1,64;adulto;Sul
17;788;RJ;F;53;1,64;adulto;Sudeste
11;1500;AP;M;24;1,64;Jovem adulto;Norte
12;1000;PR;M;57;1,64;adulto;Sul
16;2500;MG;M;31;1,64;Jovem adulto;Sudeste
12;3500;SP;M;35;1,64;Jovem adulto;Sudeste
12;1400;RO;M;46;1,64;adulto;Norte
5;1000;RS;M;65;1,64;idoso;Sul
6;80;PE;F;45;1,64;adulto;Nordeste
9;788;AP;F;50;1,64;adulto;Norte
4;3000;SP;M;63;1,64;adulto;Sudeste
16;1900;TO;M;67;1,64;idoso;Norte
5;600;AP;M;38;1,64;Jovem adulto;Norte
9;400;MT;M;37;1,64;Jovem adulto;Centro-Oeste
12;788;AP;F;42;1,64;Jovem adulto;Norte
3;200;AL;F;26;1,64;Jovem adulto;Nordeste
16;4200;MG;F;49;1,64;adulto;Sudeste
14;1800;DF;M;29;1,64;Jovem adulto;Centro-Oeste
12;2400;TO;M;35;1,64;Jovem adulto;Norte
9;10000;RS;M;47;1,64;adulto;Sul
16;2500;RJ;M;41;1,64;Jovem adulto;Sudeste
5;1000;PR;M;58;1,64;adulto;Sul
12;2000;CE;M;49;1,64;adulto;Nordeste
1;300;MA;F;72;1,64;idoso;Nordeste
12;1200;MA;M;25;1,64;Jovem adulto;Nordeste
7;950;MG;M;56;1,64;adulto;Sudeste
12;1700;ES;F;54;1,64;adulto;Sudeste
5;1500;RJ;F;59;1,64;adulto;Sudeste
9;2000;AP;M;34;1,64;Jovem adulto;Norte
9;30;PB;F;29;1,64;Jovem adulto;Nordeste
12;1200;SC;M;31;1,64;Jovem adulto;Sul
12;2500;BA;M;53;1,64;adulto;Nordeste
1;788;PI;M;54;1,64;adulto;Nordeste
16;3000;SP;M;49;1,64;adulto;Sudeste
8;3000;PR;M;50;1,64;adulto;Sul
14;940;MS;F;49;1,64;adulto;Centro-Oeste
16;1200;GO;M;43;1,64;Jovem adulto;Centro-Oeste
9;788;PI;M;40;1,64;Jovem adulto;Nordeste
12;788;BA;M;42;1,64;Jovem adulto;Nordeste
5;788;PI;F;47;1,64;adulto;Nordeste
6;800;ES;M;44;1,64;Jovem adulto;Sudeste
4;788;RN;M;72;1,64;idoso;Nordeste
7;150;CE;F;26;1,64;Jovem adulto;Nordeste
7;200;PA;F;41;1,64;Jovem adulto;Norte
9;788;PE;M;34;1,64;Jovem adulto;Nordeste
12;1700;RS;F;56;1,64;adulto;Sul
6;850;MT;M;46;1,64;adulto;Centro-Oeste
11;1800;PA;M;56;1,64;adulto;Norte
16;2000;ES;F;64;1,64;adulto;Sudeste
15;10000;RS;M;57;1,64;adulto;Sul
12;2000;PA;M;35;1,64;Jovem adulto;Norte
9;100;PI;M;28;1,64;Jovem adulto;Nordeste
5;1200;CE;F;34;1,64;Jovem adulto;Nordeste
12;788;MA;M;33;1,64;Jovem adulto;Nordeste
16;7000;SP;M;35;1,64;Jovem adulto;Sudeste
5;300;PE;F;57;1,64;adulto;Nordeste
12;240;CE;F;30;1,64;Jovem adulto;Nordeste
8;295;PI;F;36;1,64;Jovem adulto;Nordeste
12;4000;PI;F;36;1,64;Jovem adulto;Nordeste
12;1100;DF;M;37;1,64;Jovem adulto;Centro-Oeste
16;10000;MG;M;39;1,64;Jovem adulto;Sudeste
12;1300;MS;F;34;1,64;Jovem adulto;Centro-Oeste
1;788;GO;M;65;1,64;idoso;Centro-Oeste
9;980;ES;M;54;1,64;adulto;Sudeste
5;600;PE;F;38;1,64;Jovem adulto;Nordeste
12;788;PE;F;30;1,64;Jovem adulto;Nordeste
1;2350;RJ;M;38;1,64;Jovem adulto;Sudeste
12;1500;AP;M;28;1,64;Jovem adulto;Norte
12;8000;MG;M;55;1,64;adulto;Sudeste
11;1000;RJ;M;54;1,64;adulto;Sudeste
9;788;BA;M;45;1,64;adulto;Nordeste
16;980;SP;F;54;1,64;adulto;Sudeste
12;300;CE;M;39;1,64;Jovem adulto;Nordeste
9;1850;SE;M;26;1,64;Jovem adulto;Nordeste
12;1600;MT;M;38;1,64;Jovem adulto;Centro-Oeste
12;150;BA;F;38;1,64;Jovem adulto;Nordeste
12;1500;ES;M;50;1,64;adulto;Sudeste
12;7000;PA;M;57;1,64;adulto;Norte
9;1800;BA;M;38;1,64;Jovem adulto;Nordeste
4;200;MA;M;81;1,64;idoso;Nordeste
12;3000;RS;F;45;1,64;adulto;Sul
9;1550;PR;M;33;1,64;Jovem adulto;Sul
9;1500;PE;M;34;1,64;Jovem adulto;Nordeste
6;600;PE;M;36;1,64;Jovem adulto;Nordeste
9;1300;PR;M;47;1,64;adulto;Sul
7;600;MA;M;44;1,64;Jovem adulto;Nordeste
12;1400;BA;M;37;1,64;Jovem adulto;Nordeste
16;4000;MG;F;49;1,64;adulto;Sudeste
12;869;PB;F;28;1,64;Jovem adulto;Nordeste
13;800;PE;M;40;1,64;Jovem adulto;Nordeste
12;788;AL;M;43;1,64;Jovem adulto;Nordeste
12;3000;RS;M;30;1,64;Jovem adulto;Sul
6;2000;SC;M;52;1,64;adulto;Sul
1;600;BA;M;35;1,64;Jovem adulto;Nordeste
5;900;RO;M;34;1,64;Jovem adulto;Norte
16;4000;CE;M;60;1,64;adulto;Nordeste
1;200;PA;M;22;1,64;Jovem adulto;Norte
16;3000;SP;F;53;1,64;adulto;Sudeste
12;1570;RS;F;35;1,64;Jovem adulto;Sul
9;1500;MG;M;41;1,64;Jovem adulto;Sudeste
6;1000;SP;M;46;1,64;adulto;Sudeste
12;1100;GO;M;36;1,64;Jovem adulto;Centro-Oeste
6;500;ES;F;51;1,64;adulto;Sudeste
7;788;PE;F;33;1,64;Jovem adulto;Nordeste
12;4910;MG;M;35;1,64;Jovem adulto;Sudeste
16;3000;RJ;F;44;1,64;Jovem adulto;Sudeste
9;2000;GO;M;37;1,64;Jovem adulto;Centro-Oeste
12;1000;PE;M;55;1,64;adulto;Nordeste
7;3000;AP;F;52;1,64;adulto;Norte
16;1100;SP;M;41;1,64;Jovem adulto;Sudeste
12;6000;BA;M;60;1,64;adulto;Nordeste
12;788;RR;F;52;1,64;adulto;Norte
14;1000;MS;F;47;1,64;adulto;Centro-Oeste
5;1400;RO;F;30;1,64;Jovem adulto;Norte
10;350;GO;F;31;1,64;Jovem adulto;Centro-Oeste
1;300;CE;M;50;1,64;adulto;Nordeste
3;800;BA;M;44;1,64;Jovem adulto;Nordeste
9;500;PE;F;59;1,64;adulto;Nordeste
16;13000;DF;M;39;1,64;Jovem adulto;Centro-Oeste
12;2000;RS;F;38;1,64;Jovem adulto;Sul
16;4500;SP;M;65;1,64;idoso;Sudeste
16;15000;PR;M;40;1,64;Jovem adulto;Sul
16;788;RS;F;62;1,64;adulto;Sul
12;1200;RS;F;34;1,64;Jovem adulto;Sul
9;1000;PB;M;26;1,64;Jovem adulto;Nordeste
2;1500;RN;M;52;1,64;adulto;Nordeste
8;788;MG;F;57;1,64;adulto;Sudeste
12;1200;MT;M;35;1,64;Jovem adulto;Centro-Oeste
12;788;RR;M;35;1,64;Jovem adulto;Norte
10;3000;RS;M;47;1,64;adulto;Sul
12;800;RS;F;51;1,64;adulto;Sul
12;2200;SC;M;48;1,64;adulto;Sul
9;150;AL;M;36;1,64;Jovem adulto;Nordeste
12;900;CE;M;57;1,64;adulto;Nordeste
7;600;MG;F;40;1,64;Jovem adulto;Sudeste
9;890;TO;M;20;1,64;Jovem adulto;Norte
9;1200;PR;M;32;1,64;Jovem adulto;Sul
5;800;MG;M;30;1,64;Jovem adulto;Sudeste
16;15000;AC;F;71;1,64;idoso;Norte
12;1500;ES;M;37;1,64;Jovem adulto;Sudeste
12;1500;AC;M;48;1,64;adulto;Norte
1;150;AP;M;87;1,64;idoso;Norte
16;1000;PA;M;58;1,64;adulto;Norte
5;478;MG;M;55;1,64;adulto;Sudeste
15;3700;CE;M;34;1,64;Jovem adulto;Nordeste
6;900;PI;F;46;1,64;adulto;Nordeste
12;2000;DF;M;49;1,64;adulto;Centro-Oeste
12;10000;PR;M;54;1,64;adulto;Sul
12;1800;AP;M;50;1,64;adulto;Norte
12;7000;RS;M;41;1,64;Jovem adulto;Sul
9;788;RO;M;53;1,64;adulto;Norte
4;400;AP;M;51;1,64;adulto;Norte
12;560;BA;F;35;1,64;Jovem adulto;Nordeste
9;788;MA;F;55;1,64;adulto;Nordeste
16;6000;CE;M;45;1,64;adulto;Nordeste
16;1800;DF;F;50;1,64;adulto;Centro-Oeste
16;25000;MS;M;55;1,64;adulto;Centro-Oeste
11;400;PA;M;35;1,64;Jovem adulto;Norte
12;1150;SP;M;24;1,64;Jovem adulto;Sudeste
5;1000;BA;F;53;1,64;adulto;Nordeste
5;1200;MS;M;37;1,64;Jovem adulto;Centro-Oeste
16;25000;DF;M;44;1,64;Jovem adulto;Centro-Oeste
1;2000;GO;M;41;1,64;Jovem adulto;Centro-Oeste
5;1000;PE;M;33;1,64;Jovem adulto;Nordeste
16;2100;PA;M;37;1,64;Jovem adulto;Norte
16;1500;MG;F;49;1,64;adulto;Sudeste
16;780;BA;F;54;1,64;adulto;Nordeste
16;3000;PE;M;26;1,64;Jovem adulto;Nordeste
10;1100;MA;M;20;1,64;Jovem adulto;Nordeste
1;700;PA;M;49;1,64;adulto;Norte
8;2500;RJ;M;40;1,64;Jovem adulto;Sudeste
14;1200;PE;M;30;1,64;Jovem adulto;Nordeste
12;1900;AP;F;53;1,64;adulto;Norte
1;788;AC;M;35;1,64;Jovem adulto;Norte
9;1400;MG;M;68;1,64;idoso;Sudeste
12;2400;AP;M;32;1,64;Jovem adulto;Norte
15;1200;MG;M;39;1,64;Jovem adulto;Sudeste
3;788;GO;M;55;1,64;adulto;Centro-Oeste
12;2200;RS;M;38;1,64;Jovem adulto;Sul
4;3000;SP;M;36;1,64;Jovem adulto;Sudeste
9;2000;SP;M;33;1,64;Jovem adulto;Sudeste
6;788;CE;F;34;1,64;Jovem adulto;Nordeste
8;2300;MG;M;50;1,64;adulto;Sudeste
9;2300;AP;M;43;1,64;Jovem adulto;Norte
11;808;RR;F;21;1,64;Jovem adulto;Norte
