TEMPO_ESTUDO;RENDA;UF;GENERO;IDADE;ALTURA;faixa idade;Região
3;500;RO;M;44;1,64;Jovem adulto;Norte
12;1200;MA;M;36;1,64;Jovem adulto;Nordeste
6;788;PA;M;48;1,64;adulto;Norte
6;5000;MG;M;32;1,64;Jovem adulto;Sudeste
9;1250;AP;M;46;1,64;adulto;Norte
5;1000;BA;M;34;1,64;Jovem adulto;Nordeste
16;500;MS;F;26;1,64;Jovem adulto;Centro-Oeste
1;1800;RJ;F;72;1,64;idoso;Sudeste
12;1100;PA;M;36;1,64;Jovem adulto;Norte
15;4000;DF;M;49;1,64;adulto;Centro-Oeste
10;1040;CE;M;34;1,64;Jovem adulto;Nordeste
9;1700;RS;M;24;1,64;Jovem adulto;Sul
12;2305;RS;M;28;1,64;Jovem adulto;Sul
13;1200;RR;M;33;1,64;Jovem adulto;Norte
