Estudo,Renda,UF,Genero,Idade,Altura
9,800.0,SP,F,45,1.77
9,1500.0,RS,M,59,1.77
9,800.0,RJ,F,37,1.77
8,788.0,BA,F,28,1.77
8,1800.0,SP,M,40,1.77
13,1200.0,PE,F,56,1.77
12,1800.0,MG,F,37,1.77
13,3800.0,PE,M,33,1.77
12,1100.0,SC,M,32,1.77
12,2000.0,GO,M,26,1.77
9,788.0,PE,M,34,1.77
12,2600.0,SP,M,44,1.77
15,3600.0,MG,M,48,1.77
5,1500.0,RJ,F,50,1.77
12,3500.0,GO,M,36,1.77
12,1200.0,AP,F,43,1.77
12,2000.0,RS,M,50,1.77
1,700.0,PA,M,62,1.77
5,520.0,ES,F,40,1.77
15,4100.0,SP,F,54,1.77
13,1300.0,GO,M,30,1.77
7,1240.0,SP,M,49,1.77
12,1125.0,MG,M,29,1.77
16,1500.0,SP,F,52,1.77
16,1750.0,CE,F,33,1.77
9,1100.0,RJ,M,50,1.77
8,800.0,MG,M,53,1.77
9,800.0,CE,F,30,1.77
12,2000.0,GO,M,42,1.77
5,1000.0,MG,M,36,1.77
3,366.0,PE,M,35,1.77
9,1300.0,CE,M,34,1.77
1,150.0,BA,M,70,1.77
16,1100.0,PA,F,49,1.77
16,1500.0,PA,F,50,1.77
16,3700.0,MT,M,43,1.77
1,580.0,BA,M,60,1.77
1,600.0,SC,M,59,1.77
12,1576.0,GO,M,60,1.77
16,2000.0,RJ,F,38,1.77
12,4000.0,BA,M,30,1.77
16,4500.0,PI,M,48,1.77
5,1500.0,MG,M,42,1.77
8,3000.0,RJ,M,57,1.77
4,788.0,RS,M,51,1.77
12,1200.0,PA,M,35,1.77
7,640.0,MA,M,36,1.77
1,2000.0,SP,M,40,1.77
7,2300.0,CE,M,36,1.77
12,1100.0,PR,M,29,1.77
1,788.0,GO,M,18,1.77
12,2000.0,PR,M,28,1.77
13,788.0,BA,F,32,1.77
12,80.0,RS,M,41,1.77
12,1000.0,PR,M,56,1.77
16,18000.0,DF,F,37,1.77
8,1500.0,BA,M,39,1.77
11,900.0,RO,M,39,1.77
12,788.0,PA,F,45,1.77
11,1500.0,RJ,M,36,1.77
16,4200.0,MT,M,41,1.77
9,1800.0,PR,M,27,1.77
7,300.0,MS,F,47,1.77
16,1300.0,RO,M,24,1.77
9,3000.0,SC,M,52,1.77
12,6500.0,DF,M,67,1.77
9,500.0,RJ,M,53,1.77
12,1200.0,BA,M,55,1.77
6,2000.0,GO,M,30,1.77
16,8000.0,RN,M,48,1.77
12,1600.0,SP,M,47,1.77
9,1000.0,PR,F,45,1.77
12,300.0,CE,F,30,1.77
5,150.0,PB,F,58,1.77
16,5500.0,PE,F,56,1.77
9,788.0,RJ,M,64,1.77
1,250.0,PE,M,49,1.77
14,2000.0,MG,M,29,1.77
1,350.0,PI,M,32,1.77
12,788.0,GO,F,37,1.77
12,400.0,BA,F,52,1.77
16,9500.0,SP,F,51,1.77
4,3000.0,RS,M,52,1.77
8,1100.0,PA,F,61,1.77
12,1000.0,PE,M,51,1.77
12,788.0,SE,M,42,1.77
12,4000.0,PA,M,38,1.77
12,788.0,PB,M,27,1.77
12,900.0,DF,F,35,1.77
6,1440.0,SP,F,60,1.77
6,900.0,ES,M,34,1.77
12,2300.0,MG,M,40,1.77
12,1000.0,MG,M,25,1.77
12,250.0,AL,F,31,1.77
15,2250.0,RS,M,27,1.77
9,788.0,AP,F,24,1.77
4,1600.0,PR,M,60,1.77
12,728.0,PA,F,47,1.77
5,1500.0,MG,M,51,1.77
4,1500.0,PR,M,57,1.77
12,2100.0,AP,M,33,1.77
16,4500.0,RS,M,33,1.77
12,2000.0,MG,F,28,1.77
12,700.0,TO,M,39,1.77
12,800.0,PE,F,44,1.77
10,900.0,PI,M,36,1.77
12,788.0,PA,F,48,1.77
16,5000.0,SP,M,61,1.77
4,1400.0,CE,M,36,1.77
12,900.0,RS,F,35,1.77
16,2200.0,PA,M,29,1.77
7,800.0,RJ,M,52,1.77
6,600.0,PB,F,44,1.77
11,4000.0,RS,M,68,1.77
12,7000.0,MS,M,44,1.77
12,2000.0,PI,M,19,1.77
8,1000.0,GO,M,56,1.77
9,1200.0,PR,F,32,1.77
15,2000.0,MA,M,32,1.77
12,1300.0,GO,M,37,1.77
2,800.0,CE,M,40,1.77
12,500.0,PA,F,40,1.77
10,788.0,GO,M,32,1.77
16,5200.0,MG,M,69,1.77
9,1100.0,RS,M,23,1.77
12,2000.0,BA,M,34,1.77
12,1500.0,BA,F,45,1.77
12,788.0,SP,F,31,1.77
16,3000.0,PA,F,37,1.77
1,3400.0,GO,M,32,1.77
15,2300.0,PE,M,30,1.77
12,788.0,MG,F,50,1.77
16,10000.0,PR,M,53,1.77
5,1000.0,PE,M,44,1.77
12,1576.0,BA,F,35,1.77
16,11000.0,RS,F,50,1.77
16,2200.0,MG,M,36,1.77
8,480.0,PE,F,57,1.77
5,1000.0,RS,M,63,1.77
8,788.0,AP,F,36,1.77
5,2000.0,RO,M,59,1.77
4,300.0,BA,M,55,1.77
12,1800.0,SP,M,55,1.77
2,1400.0,GO,F,51,1.77
6,2000.0,PR,M,33,1.77
12,4500.0,ES,M,53,1.77
8,350.0,MA,F,31,1.77
8,1500.0,RS,F,39,1.77
16,800.0,GO,F,30,1.77
12,2000.0,RJ,M,34,1.77
5,3000.0,SP,M,54,1.77
13,2500.0,SC,F,38,1.77
12,1600.0,SP,M,44,1.77
12,500.0,SP,F,34,1.77
13,3000.0,BA,M,22,1.77
12,800.0,CE,F,48,1.77
16,3000.0,SP,F,30,1.77
6,70.0,RS,M,58,1.77
12,1040.0,MT,M,23,1.77
9,850.0,SP,M,48,1.77
5,3000.0,SP,M,59,1.77
9,2000.0,RJ,M,41,1.77
9,788.0,PR,F,63,1.77
5,788.0,GO,F,53,1.77
12,1650.0,MG,M,45,1.77
5,2000.0,MG,M,37,1.77
7,700.0,PE,M,40,1.77
1,400.0,PA,M,65,1.77
1,789.0,MG,M,53,1.77
16,4800.0,DF,M,57,1.77
1,250.0,AC,M,40,1.77
5,1000.0,SC,F,45,1.77
12,1500.0,SE,M,73,1.77
6,1600.0,RS,M,44,1.77
3,2300.0,GO,M,61,1.77
4,2000.0,CE,M,48,1.77
16,2500.0,PR,M,42,1.77
6,1060.0,PR,M,74,1.77
14,850.0,RO,M,40,1.77
16,5000.0,RJ,F,28,1.77
7,200.0,SE,F,35,1.77
9,1200.0,GO,M,42,1.77
4,2800.0,RS,M,35,1.77
5,1800.0,MG,M,38,1.77
3,1500.0,GO,M,33,1.77
12,3000.0,SP,M,49,1.77
7,2500.0,PI,M,34,1.77
15,2300.0,SP,M,52,1.77
14,5000.0,SP,M,67,1.77
5,2100.0,MG,M,57,1.77
12,3300.0,RJ,M,45,1.77
7,500.0,PA,M,48,1.77
16,5000.0,DF,M,42,1.77
5,200.0,PA,F,60,1.77
12,2300.0,SC,M,43,1.77
16,1400.0,RO,F,28,1.77
10,500.0,MA,F,49,1.77
6,1000.0,RO,M,43,1.77
12,2500.0,MT,M,55,1.77
3,800.0,MA,M,65,1.77
12,1500.0,RJ,M,44,1.77
5,1200.0,DF,F,44,1.77
8,1100.0,PR,M,49,1.77
9,1200.0,MG,M,43,1.77
5,60.0,MA,M,28,1.77
12,1500.0,PA,M,33,1.77
2,788.0,BA,F,60,1.77
4,300.0,PE,F,67,1.77
7,800.0,PE,M,49,1.77
12,1500.0,MT,M,33,1.77
9,700.0,SP,M,37,1.77
12,3000.0,SP,M,62,1.77
7,600.0,PB,M,34,1.77
6,1500.0,AL,M,29,1.77
6,2500.0,MG,M,50,1.77
6,788.0,ES,M,59,1.77
16,1100.0,GO,F,38,1.77
4,1200.0,RR,M,32,1.77
4,500.0,RN,F,66,1.77
12,2000.0,MG,M,37,1.77
4,500.0,MG,M,39,1.77
16,5000.0,BA,M,43,1.77
3,1200.0,MG,M,38,1.77
1,1200.0,ES,M,41,1.77
1,500.0,PE,M,50,1.77
10,905.0,SP,M,23,1.77
6,1500.0,BA,M,56,1.77
1,900.0,BA,M,45,1.77
9,1200.0,RJ,M,47,1.77
16,2300.0,MT,F,26,1.77
12,900.0,CE,M,30,1.77
13,2500.0,SC,M,54,1.77
12,10200.0,RJ,M,48,1.77
9,400.0,SP,F,40,1.77
5,550.0,ES,F,56,1.77
8,2200.0,MS,M,42,1.77
3,300.0,AL,M,58,1.77
16,3000.0,MG,M,43,1.77
12,1300.0,PA,M,40,1.77
16,3000.0,RJ,F,50,1.77
9,1000.0,SP,F,52,1.77
1,1200.0,PA,M,37,1.77
12,800.0,AP,M,24,1.77
8,1500.0,RO,M,38,1.77
1,380.0,BA,M,78,1.77
15,2500.0,PR,M,38,1.77
12,2500.0,SP,M,34,1.77
16,4000.0,AP,F,45,1.77
12,1000.0,RN,F,24,1.77
11,788.0,PA,F,45,1.77
11,2500.0,ES,M,33,1.77
7,1200.0,MS,M,26,1.77
12,1600.0,ES,M,50,1.77
12,2000.0,MG,M,34,1.77
8,788.0,RS,M,50,1.77
12,788.0,PB,F,47,1.77
13,4800.0,PE,F,69,1.77
5,500.0,PA,F,55,1.77
3,200.0,BA,F,42,1.77
8,1700.0,SP,M,46,1.77
8,1700.0,MS,M,43,1.77
1,800.0,CE,M,36,1.77
8,1500.0,ES,M,27,1.77
11,3400.0,RN,F,54,1.77
5,1000.0,RO,F,56,1.77
12,788.0,RO,M,36,1.77
1,788.0,RR,F,39,1.77
8,6150.0,MG,M,47,1.77
9,1200.0,RJ,M,51,1.77
5,600.0,RN,M,54,1.77
16,6000.0,MT,M,48,1.77
12,900.0,AP,F,29,1.77
5,2000.0,SC,M,46,1.77
9,5500.0,ES,M,50,1.77
13,1000.0,MG,M,23,1.77
12,900.0,BA,M,29,1.77
16,3400.0,AP,M,36,1.77
6,600.0,RS,M,64,1.77
15,1400.0,PR,F,25,1.77
5,788.0,MG,M,61,1.77
1,280.0,TO,F,59,1.77
16,4500.0,PR,F,55,1.77
12,1170.0,RS,M,35,1.77
5,900.0,PE,M,47,1.77
12,788.0,CE,M,25,1.77
12,1800.0,CE,M,47,1.77
12,3000.0,RS,M,50,1.77
16,2300.0,CE,M,64,1.77
16,10000.0,PR,M,41,1.77
4,150.0,RN,M,70,1.77
13,2100.0,SC,M,46,1.77
5,788.0,MS,F,50,1.77
12,800.0,GO,F,40,1.77
12,1000.0,SP,F,36,1.77
12,1300.0,SP,M,55,1.77
12,1700.0,RJ,M,49,1.77
16,15000.0,PA,F,45,1.77
16,7000.0,SP,F,53,1.77
16,5000.0,PR,F,57,1.77
9,2000.0,MS,M,52,1.77
12,1000.0,PA,F,63,1.77
13,788.0,MT,M,50,1.77
9,2100.0,RS,M,53,1.77
1,1000.0,TO,M,49,1.77
1,600.0,PA,M,45,1.77
12,788.0,MS,M,38,1.77
7,900.0,ES,M,43,1.77
11,1500.0,RO,F,43,1.77
12,1000.0,RS,F,45,1.77
1,1250.0,DF,F,50,1.77
3,788.0,CE,F,46,1.77
16,7000.0,MG,M,39,1.77
5,788.0,MT,F,59,1.77
1,970.0,RS,M,53,1.77
12,1800.0,RJ,F,43,1.77
12,1800.0,MG,F,64,1.77
16,4000.0,CE,M,32,1.77
4,400.0,PE,F,45,1.77
9,2000.0,MS,M,42,1.77
9,930.0,PA,M,62,1.77
12,880.0,RS,M,28,1.77
16,6300.0,PE,M,50,1.77
12,1200.0,SP,M,43,1.77
2,450.0,MA,M,47,1.77
9,1500.0,AL,M,28,1.77
12,850.0,ES,F,23,1.77
9,1200.0,PE,M,55,1.77
16,7000.0,DF,M,30,1.77
16,6000.0,RS,F,47,1.77
12,1200.0,GO,M,47,1.77
7,5000.0,SP,M,46,1.77
16,7000.0,BA,M,37,1.77
5,788.0,RJ,M,65,1.77
12,4500.0,RJ,M,45,1.77
16,3000.0,BA,M,31,1.77
12,900.0,BA,M,50,1.77
12,788.0,BA,F,27,1.77
12,2100.0,RJ,M,39,1.77
12,140.0,RJ,F,47,1.77
12,1200.0,DF,M,36,1.77
12,2300.0,DF,M,26,1.77
12,1600.0,SP,M,38,1.77
5,200.0,PB,M,62,1.77
10,2512.0,PE,F,32,1.77
12,1300.0,PR,M,29,1.77
12,700.0,RJ,F,37,1.77
12,3500.0,PB,M,49,1.77
9,1500.0,PE,F,46,1.77
16,2000.0,SP,M,54,1.77
14,5500.0,PA,M,50,1.77
12,800.0,SE,M,24,1.77
2,800.0,MT,M,78,1.77
1,480.0,PA,M,45,1.77
12,3000.0,ES,M,44,1.77
1,750.0,GO,M,53,1.77
1,935.0,GO,M,51,1.77
11,788.0,PB,M,49,1.77
16,5000.0,GO,M,48,1.77
13,5000.0,PR,M,47,1.77
9,400.0,AP,F,39,1.77
16,1500.0,PE,F,30,1.77
11,1500.0,RJ,M,25,1.77
1,300.0,MS,M,52,1.77
12,480.0,RJ,F,38,1.77
9,2000.0,RJ,M,50,1.77
16,3000.0,BA,F,51,1.77
12,1500.0,CE,M,36,1.77
6,1000.0,SP,M,48,1.77
4,1600.0,SP,M,54,1.77
16,5000.0,PR,M,57,1.77
15,2500.0,RS,M,34,1.77
5,1200.0,MG,M,38,1.77
12,1500.0,BA,M,43,1.77
10,300.0,PB,M,49,1.77
12,3000.0,SP,M,33,1.77
10,1300.0,BA,M,41,1.77
12,820.0,PE,M,40,1.77
15,4700.0,DF,M,30,1.77
16,5000.0,SP,M,63,1.77
10,788.0,CE,M,32,1.77
9,788.0,PA,M,51,1.77
16,2800.0,SC,F,48,1.77
12,1544.0,RS,M,39,1.77
6,788.0,GO,F,45,1.77
1,280.0,MT,F,43,1.77
12,950.0,BA,M,42,1.77
16,95.0,SP,M,35,1.77
7,1600.0,RS,M,35,1.77
8,2300.0,SP,M,59,1.77
9,2000.0,MS,M,45,1.77
6,1400.0,MG,M,46,1.77
9,1576.0,CE,M,51,1.77
5,500.0,RJ,M,61,1.77
6,1182.0,GO,M,38,1.77
2,600.0,BA,M,36,1.77
16,8000.0,MG,M,61,1.77
12,2000.0,ES,M,38,1.77
16,1100.0,RJ,F,48,1.77
12,2000.0,PR,M,34,1.77
3,400.0,PB,M,56,1.77
15,2000.0,RJ,M,34,1.77
12,788.0,BA,F,40,1.77
12,1200.0,PB,F,27,1.77
4,300.0,CE,F,28,1.77
16,2400.0,RS,M,45,1.77
4,320.0,BA,M,49,1.77
13,920.0,PR,F,53,1.77
16,1800.0,SC,M,48,1.77
12,1109.0,PR,F,24,1.77
16,5000.0,PR,F,74,1.77
1,600.0,PA,M,40,1.77
8,2500.0,GO,M,28,1.77
12,1700.0,SP,F,32,1.77
5,900.0,BA,M,54,1.77
12,5000.0,SC,M,39,1.77
1,90.0,PB,M,49,1.77
10,1400.0,GO,M,28,1.77
12,300.0,MG,F,42,1.77
6,1200.0,MG,M,42,1.77
16,1600.0,MA,F,49,1.77
7,3600.0,SP,M,54,1.77
16,10000.0,PA,F,32,1.77
2,200.0,PE,F,57,1.77
9,900.0,CE,F,46,1.77
12,4000.0,CE,F,59,1.77
11,1200.0,GO,M,25,1.77
16,1800.0,RJ,F,46,1.77
16,10000.0,SP,M,28,1.77
12,800.0,RJ,M,28,1.77
12,2000.0,SP,M,66,1.77
16,2500.0,GO,M,27,1.77
15,300.0,RO,F,31,1.77
6,2000.0,MS,M,44,1.77
16,2000.0,MG,M,49,1.77
12,4000.0,SP,M,50,1.77
9,1500.0,PR,M,42,1.77
4,788.0,BA,M,53,1.77
6,90.0,PE,M,19,1.77
12,2700.0,PE,M,40,1.77
16,2000.0,PI,M,40,1.77
9,1500.0,SP,F,57,1.77
16,600.0,RN,M,60,1.77
14,1800.0,RS,M,30,1.77
12,2000.0,PE,M,33,1.77
9,3500.0,AP,F,58,1.77
16,17000.0,SP,M,33,1.77
12,2000.0,SP,M,34,1.77
1,100.0,AL,M,55,1.77
12,3800.0,BA,M,53,1.77
4,90.0,PI,M,46,1.77
12,900.0,SC,F,67,1.77
16,2000.0,MG,F,47,1.77
1,300.0,AP,M,60,1.77
16,2500.0,SC,M,48,1.77
1,800.0,RS,M,51,1.77
12,2000.0,MG,M,37,1.77
5,480.0,AP,F,41,1.77
2,850.0,MA,M,42,1.77
12,1300.0,CE,F,54,1.77
12,400.0,PE,F,19,1.77
15,1100.0,PB,F,36,1.77
16,1800.0,MG,M,35,1.77
12,1576.0,BA,M,66,1.77
10,788.0,TO,M,26,1.77
12,1500.0,MS,M,46,1.77
12,2200.0,GO,F,56,1.77
6,1100.0,ES,M,45,1.77
5,800.0,ES,F,52,1.77
12,1500.0,PI,M,40,1.77
12,2100.0,RS,M,59,1.77
5,800.0,SP,F,46,1.77
12,1000.0,MG,F,29,1.77
5,950.0,PE,M,56,1.77
12,1400.0,RS,M,59,1.77
12,500.0,BA,M,29,1.77
3,1000.0,GO,M,45,1.77
3,300.0,MS,F,34,1.77
10,788.0,BA,F,31,1.77
1,100.0,PE,M,47,1.77
5,800.0,RS,F,49,1.77
12,788.0,BA,M,33,1.77
16,3500.0,PR,M,36,1.77
12,1800.0,MG,M,39,1.77
12,900.0,PR,F,26,1.77
16,600.0,PR,M,64,1.77
12,1577.0,PE,F,38,1.77
5,1600.0,SC,M,68,1.77
7,800.0,BA,F,32,1.77
7,2000.0,SP,M,51,1.77
12,7000.0,RS,M,36,1.77
16,4500.0,RJ,M,48,1.77
8,1250.0,BA,M,34,1.77
10,480.0,PE,M,35,1.77
4,500.0,PA,M,36,1.77
12,2500.0,SP,M,42,1.77
6,150.0,RN,F,28,1.77
16,2100.0,TO,F,48,1.77
12,1000.0,RJ,M,31,1.77
16,3500.0,SP,M,43,1.77
12,100.0,BA,F,51,1.77
1,48.0,PB,M,65,1.77
7,1400.0,RJ,M,56,1.77
5,1480.0,RS,M,34,1.77
9,1500.0,SP,M,42,1.77
12,1200.0,BA,F,62,1.77
5,2000.0,MG,M,45,1.77
16,1000.0,RJ,F,54,1.77
10,1000.0,MG,M,41,1.77
16,3000.0,AL,F,60,1.77
11,1000.0,PR,M,57,1.77
2,600.0,PB,M,43,1.77
16,2100.0,AP,F,43,1.77
14,1200.0,SP,F,42,1.77
9,788.0,RR,F,37,1.77
1,2500.0,RN,M,60,1.77
6,1600.0,SP,M,40,1.77
5,1000.0,PR,F,60,1.77
12,2300.0,PR,M,33,1.77
6,395.0,RJ,M,54,1.77
12,800.0,RJ,F,22,1.77
3,500.0,AP,M,28,1.77
9,1010.0,RN,M,33,1.77
8,800.0,RJ,M,36,1.77
6,1000.0,RN,M,46,1.77
9,1300.0,RJ,F,52,1.77
9,300.0,RS,F,44,1.77
12,1000.0,RS,M,43,1.77
9,1000.0,SP,M,34,1.77
12,788.0,SP,F,34,1.77
6,1300.0,RO,M,38,1.77
12,1550.0,SP,M,48,1.77
16,800.0,CE,M,34,1.77
5,1500.0,ES,M,34,1.77
2,1250.0,BA,M,67,1.77
6,1200.0,ES,M,33,1.77
16,6000.0,DF,M,40,1.77
12,600.0,MG,F,45,1.77
7,788.0,RS,F,37,1.77
12,1543.0,SP,M,27,1.77
12,850.0,PE,M,45,1.77
1,1400.0,MG,M,36,1.77
12,1000.0,MG,M,30,1.77
12,788.0,BA,M,27,1.77
14,5000.0,RS,M,40,1.77
1,520.0,SP,F,62,1.77
8,1100.0,RS,M,28,1.77
10,788.0,PB,M,33,1.77
1,690.0,BA,M,45,1.77
16,4728.0,SP,F,60,1.77
11,1000.0,BA,F,31,1.77
16,3000.0,GO,F,41,1.77
16,4150.0,PR,F,34,1.77
6,1114.0,MS,F,45,1.77
16,3300.0,ES,F,41,1.77
16,15000.0,MS,M,36,1.77
12,1500.0,SP,M,38,1.77
4,600.0,CE,F,61,1.77
12,2000.0,SC,M,40,1.77
12,220.0,PA,F,53,1.77
6,1500.0,RS,M,52,1.77
12,400.0,PE,M,24,1.77
12,500.0,PE,F,61,1.77
9,700.0,PI,F,44,1.77
12,500.0,CE,F,60,1.77
16,15000.0,SC,M,42,1.77
12,2800.0,MT,M,55,1.77
12,1300.0,DF,M,27,1.77
12,1100.0,CE,F,48,1.77
8,1300.0,GO,M,36,1.77
12,1800.0,SP,M,56,1.77
14,970.0,SP,M,39,1.77
16,5500.0,RS,F,64,1.77
16,788.0,RN,M,50,1.77
12,1200.0,AP,F,37,1.77
6,1100.0,PR,M,38,1.77
12,2500.0,AP,F,50,1.77
3,2000.0,CE,M,39,1.77
16,3681.0,AP,F,31,1.77
3,600.0,PI,M,50,1.77
8,880.0,MG,F,46,1.77
12,2400.0,RS,M,31,1.77
16,1600.0,TO,M,39,1.77
5,700.0,TO,M,61,1.77
13,1300.0,MG,F,38,1.77
5,900.0,GO,F,39,1.77
16,800.0,RS,M,28,1.77
12,1800.0,RJ,M,33,1.77
7,788.0,MT,M,35,1.77
5,6000.0,RS,M,45,1.77
12,900.0,MG,M,48,1.77
2,788.0,PE,M,34,1.77
13,14000.0,SP,M,37,1.77
1,300.0,RN,F,46,1.77
12,788.0,AL,M,43,1.77
7,800.0,RJ,F,52,1.77
16,8000.0,RR,F,31,1.77
10,788.0,PE,M,42,1.77
11,2500.0,RS,M,43,1.77
11,1000.0,RO,F,34,1.77
12,1500.0,SP,F,34,1.77
6,788.0,PB,M,34,1.77
9,950.0,MG,M,28,1.77
15,1600.0,BA,F,45,1.77
9,1000.0,MG,M,47,1.77
8,390.0,PE,F,40,1.77
9,4000.0,TO,M,60,1.77
12,788.0,PA,M,45,1.77
16,10000.0,MG,M,41,1.77
5,1300.0,MG,M,54,1.77
6,1000.0,RJ,M,33,1.77
12,1500.0,MG,M,52,1.77
13,1900.0,PE,M,35,1.77
12,2000.0,PA,M,45,1.77
12,2300.0,RS,M,45,1.77
12,2500.0,DF,F,43,1.77
9,700.0,PA,M,41,1.76
16,1800.0,RS,F,38,1.76
12,1576.0,MG,M,49,1.76
12,600.0,AP,M,34,1.76
16,2246.0,RN,M,49,1.76
6,1000.0,PA,M,41,1.76
12,1000.0,TO,F,39,1.76
7,1000.0,PA,M,35,1.76
3,600.0,PA,M,56,1.76
12,1500.0,RS,F,58,1.76
14,788.0,BA,F,49,1.76
5,1000.0,RS,M,48,1.76
16,5000.0,RS,M,32,1.76
16,5000.0,MG,F,37,1.76
15,3000.0,PR,M,55,1.76
9,600.0,RJ,M,62,1.76
12,8000.0,CE,M,41,1.76
16,1500.0,MG,M,39,1.76
16,7000.0,PR,M,34,1.76
16,2364.0,ES,M,45,1.76
12,788.0,CE,F,31,1.76
9,3000.0,GO,M,63,1.76
5,1800.0,SP,M,49,1.76
12,788.0,AL,M,30,1.76
6,2000.0,SP,M,48,1.76
9,1200.0,MG,M,44,1.76
4,1000.0,CE,M,53,1.76
7,788.0,PR,M,51,1.76
12,1450.0,SP,M,33,1.76
16,4000.0,SP,M,43,1.76
12,1800.0,MG,M,45,1.76
9,2000.0,MS,M,38,1.76
1,600.0,AC,M,47,1.76
8,1000.0,PE,M,25,1.76
3,1500.0,RS,M,29,1.76
16,15000.0,MG,M,53,1.76
5,1350.0,MG,M,49,1.76
5,788.0,MS,M,59,1.76
6,800.0,PA,M,31,1.76
12,9000.0,MS,M,50,1.76
9,3000.0,MG,M,82,1.76
12,6000.0,MG,M,37,1.76
5,450.0,MG,M,36,1.76
12,2000.0,MT,M,28,1.76
9,1500.0,MA,M,27,1.76
12,1576.0,RS,M,25,1.76
4,400.0,BA,M,50,1.76
12,1073.0,SP,F,38,1.76
15,2500.0,SP,F,46,1.76
1,788.0,AL,F,30,1.76
9,788.0,MG,M,27,1.76
9,600.0,PA,M,66,1.76
12,1500.0,RJ,M,52,1.76
11,788.0,AC,M,20,1.76
15,2500.0,PA,M,44,1.76
12,1500.0,SP,F,45,1.76
12,2500.0,BA,M,44,1.76
5,1500.0,MG,M,52,1.76
12,300.0,AP,F,28,1.76
11,788.0,PA,M,27,1.76
14,3000.0,MG,M,52,1.76
16,1500.0,PR,F,52,1.76
4,500.0,ES,M,41,1.76
8,2000.0,MG,M,49,1.76
12,2200.0,SC,M,30,1.76
11,2300.0,SP,M,55,1.76
5,1000.0,MG,M,77,1.76
3,1200.0,PA,M,55,1.76
12,788.0,RS,M,30,1.76
12,788.0,BA,M,55,1.76
12,1200.0,RS,F,34,1.76
9,400.0,PA,F,23,1.76
1,480.0,SE,M,50,1.76
3,755.0,BA,M,37,1.76
15,1500.0,AP,F,39,1.76
6,450.0,PR,F,58,1.76
12,1600.0,BA,M,45,1.76
5,900.0,SP,M,33,1.76
11,1200.0,CE,M,25,1.76
11,2000.0,ES,M,53,1.76
1,350.0,RS,F,46,1.76
11,1150.0,MG,M,24,1.76
12,1200.0,CE,M,47,1.76
12,900.0,PE,M,33,1.76
8,1100.0,RS,M,33,1.76
16,900.0,PI,M,37,1.76
12,700.0,RS,M,62,1.76
1,500.0,RR,M,49,1.76
16,8930.0,CE,M,32,1.76
12,1700.0,GO,M,48,1.76
12,2000.0,PR,M,42,1.76
6,1100.0,GO,F,66,1.76
12,920.0,SP,F,49,1.76
12,1200.0,RS,M,32,1.76
12,1980.0,BA,M,36,1.76
16,1500.0,PE,F,45,1.76
8,2300.0,RS,M,29,1.76
16,800.0,AL,M,50,1.76
15,2500.0,SC,M,56,1.76
6,788.0,CE,M,47,1.76
1,1500.0,PR,M,39,1.76
6,788.0,PA,M,27,1.76
16,9000.0,DF,F,58,1.76
9,3000.0,MG,M,35,1.76
9,1182.0,MG,M,36,1.76
16,7200.0,RS,M,40,1.76
7,90.0,SP,F,47,1.76
3,950.0,RJ,M,45,1.76
6,2200.0,MG,M,67,1.76
6,500.0,AP,M,42,1.76
12,2000.0,PR,M,30,1.76
12,2800.0,BA,F,39,1.76
16,17000.0,SP,M,41,1.76
16,1800.0,SE,F,26,1.76
16,7000.0,PA,M,47,1.76
16,1500.0,BA,M,29,1.76
13,200.0,PR,F,55,1.76
1,1200.0,MG,M,63,1.76
4,50.0,PE,M,59,1.76
5,1500.0,SC,M,33,1.76
12,1000.0,BA,F,27,1.76
15,3000.0,PB,F,59,1.76
16,3400.0,RS,F,30,1.76
6,1500.0,RS,M,66,1.76
12,3500.0,RS,M,36,1.76
1,500.0,RJ,F,58,1.76
16,1900.0,PA,F,42,1.76
16,7000.0,MA,F,66,1.76
16,788.0,MG,M,27,1.76
12,1245.0,RN,M,39,1.76
12,1100.0,PR,F,24,1.76
3,840.0,PI,M,46,1.76
6,280.0,BA,M,46,1.76
12,400.0,SE,M,38,1.76
15,4000.0,SP,F,43,1.76
4,2000.0,BA,M,57,1.76
5,1500.0,SP,M,42,1.76
16,4000.0,GO,M,47,1.76
3,250.0,BA,F,53,1.76
6,900.0,BA,M,63,1.76
9,1800.0,SP,M,39,1.76
12,1200.0,CE,F,38,1.76
11,300.0,RS,F,60,1.76
16,900.0,MG,F,64,1.76
1,3000.0,MG,M,50,1.76
12,5000.0,MG,M,57,1.76
6,600.0,RJ,F,54,1.76
12,3500.0,RJ,M,38,1.76
7,3000.0,GO,M,52,1.76
1,500.0,BA,M,63,1.76
1,350.0,CE,M,45,1.76
11,500.0,BA,M,46,1.76
14,2000.0,MG,M,38,1.76
12,788.0,MG,F,23,1.76
12,800.0,AC,F,31,1.76
16,1500.0,SE,F,29,1.76
16,20000.0,RS,M,76,1.76
14,4200.0,RS,M,30,1.76
4,2000.0,PA,M,41,1.76
16,7000.0,PE,M,45,1.76
8,788.0,MG,F,48,1.76
2,300.0,TO,M,59,1.76
9,700.0,MG,M,67,1.76
12,2200.0,SC,M,51,1.76
14,5000.0,MT,M,45,1.76
15,5000.0,DF,M,40,1.76
7,1400.0,RS,M,39,1.76
12,1200.0,CE,F,55,1.76
7,1000.0,RJ,F,58,1.76
12,788.0,MA,F,26,1.76
16,4000.0,PA,F,45,1.76
15,1300.0,MS,M,32,1.76
9,788.0,PB,M,40,1.76
15,1576.0,PE,M,37,1.76
